"Номенклатурный номер";"Наименование";"Бренд";"Кол-во";"Цена, RUB";"Дата доставки";"Сумма, RUB"
"51268";"MF-R135, 1.35А, Предохранитель самовосстанавливающийся, MultiFuse";"Bourns";1;20,00;"3 декабря";20,00
"9000213601";"MTS-101 A-2, Микротумблер ON-OFF SPST 2P 250B/3A";"Jietong Switch";2;57,00;"3 декабря";114,00
"8038550183";"K7815-2000R3";"Mornsun";1;350,00;"5 декабря";350,00
"36056";"PBD-50 (DS1023-2x25), Гнездо на плату 2.54мм 2х25pin прямое";"Connfly";2;30,00;"3 декабря";60,00
"9000222467";"ВРПИ-М 1,5-(6,3) (ВРПИ-М 1.5-7-0.8), Разъем виброустойчивый плоский 0,5 - 1,5мм²";"КВТ";2;12,00;"3 декабря";24,00
"9001493348";"CDPK0810-101K, 100мкГн, Катушка индуктивности";"SCE";1;28,00;"3 декабря";28,00
"9000565847";"К50-35, 10мкФ, 50В, 105°C, 20%, 5x11мм P:2мм, JRB1H100M02000500110000B, Конденсатор электролитический алюминиевый";"JB Capacitors";1;4,00;"3 декабря";4,00
"9000565854";"К50-35, 22мкФ, 25В, 105°C, 20%, 5x11мм P:2мм, JRB1E220M02000500110000B, Конденсатор электролитический алюминиевый";"JB Capacitors";2;4,00;"3 декабря";8,00
"9000565861";"К50-35, 22мкФ, 50В, 105°C, 20%, 5x11мм P:2мм, JRB1H220M02000500110000B, Конденсатор электролитический алюминиевый";"JB Capacitors";1;4,00;"3 декабря";4,00
"9000461669";"1N5400, Диод выпрямительный 3А 50В [DO-201AD.]";"Diotec";3;18,00;"3 декабря";54,00
"9001599836";"MAX3232EIDR, Трансивер RS-232, Full-Duplex, 2/2, 250Kbps [SOIC-16.]";"Texas Instruments";2;49,00;"3 декабря";98,00
"8001786468";"K7805-1000R3";"Mornsun";1;190,00;"5 декабря";190,00
"9001169157";"L7812CV, Стабилизатор напряжения +12В 1.5А [TO-220.]";"UMW";1;19,00;"3 декабря";19,00
"9000811973";"GNL-3012GD, Светодиод зеленый 60° d=3мм 5-10мКд 565нМ (Green)";"G-nor";1;9,00;"3 декабря";9,00
"9000422971";"GNL-3012ED, Светодиод оранжевый 60° d=3мм 8мКд 635нМ (Orange)";"G-nor";1;9,00;"3 декабря";9,00
"9000422970";"GNL-3012YD, Светодиод желтый 60° d=3мм 6мКд 585нМ (Yellow)";"G-nor";1;12,00;"3 декабря";12,00
"9000295626";"MLH-3, Держатель светодиода 3мм металл.";"Daier";3;17,00;"3 декабря";51,00
"9000172308";"0.33мкФ X7R 16В 10% 0805, CC0805KKX7R7BB334, Конденсатор керамический smd";"Yageo";10;5,00;"3 декабря";50,00
"443350645";"1 мкФ X7R 16В 10% 0805, GRM21BR71C105K, Конденсатор керамический smd";"Murata";5;5,00;"3 декабря";25,00
"9000896422";"0.047мкФ X7R 25В 10% 0805, CC0805KRX7R8BB473, Конденсатор керамический smd";"Yageo";5;3,00;"3 декабря";15,00
"9000161208";"0.25Вт 1206 22 Ом, 1%, RC1206FR-0722RL, Чип резистор (SMD)";"Yageo";10;2,00;"3 декабря";20,00
"";;;;;"Сумма товаров в заказе, RUB";1164,00
"";;;;;"Кол-во товаров в заказе";21
